Player,Team,Pos,PassingYds,PassingTD,Int,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD
Armani Rogers,WAS,TE,0,0,0,0,0,0,7.3,74.4,0.4
Johnny Mundt,MIN,TE,0,0,0,0,0,0,6.1,76.1,0.3
Curtis Hodges,WAS,TE,0,0,0,0,0,0,6.2,58.9,0.6
Chris Manhertz,DEN,TE,0,0,0,0,0,0,5.3,67.1,0.4
Grant Calcaterra,PHI,TE,0,0,0,0,0,0,3,75.1,0.3
Devin Asiasi,CIN,TE,0,0,0,0,0,0,6.2,61.2,0.5
Stone Smartt,LAC,TE,0,0,0,0,0,0,8.7,56.7,0.5
Luke Farrell,JAC,TE,0,0,0,0,0,0,5.9,58.6,0.4
Parker Hesse,ATL,TE,0,0,0,0,0,0,5.4,63.2,0.3
Chris Myarick,NYG,TE,0,0,0,0,0,0,3.7,62.2,0.3
Joel Honigford,ARI,TE,0,0,0,0,0,0,4.8,44.9,0.4
Tommy Sweeney,NYG,TE,0,0,0,0,0,0,3.7,50.8,0.3
Tanner Hudson,CIN,TE,0,0,0,0,0,0,4.4,51.8,0.2
Kevin Rader,TEN,TE,0,0,0,0,0,0,0.8,49.6,0.3
Tanner Conner,MIA,TE,0,0,0,0,0,0,4,37.8,0.3
MyCole Pruitt,ATL,TE,0,0,0,0,0,0,0,30.6,0.4
Charlie Woerner,SF,TE,0,0,0,0,0,0,3.4,36,0.3
Tyler Mabry,SEA,TE,0,0,0,0,0,0,3.3,36.4,0.3
Dominique Dafney,TB,TE,0,0,0,0,0,0,3.7,38.3,0.3
Kendall Blanton,KC,TE,0,0,0,0,0,0,0,35,0.3
Anthony Firkser,NE,TE,0,0,0,0,0,0,3.9,36.4,0.2
Eric Tomlinson,HOU,TE,0,0,0,0,0,0,3.6,35.3,0.2
Mason Schreck,HOU,TE,0,0,0,0,0,0,3.6,35,0.2
Mitchell Wilcox,CIN,TE,0,0,0,0,0,0,0,44.1,0
Lucas Krull,NO,TE,0,0,0,0,0,0,3.2,27.7,0.3
Sean McKeon,DAL,TE,0,0,0,0,0,0,2.4,24.8,0.3
Pharaoh Brown,IND,TE,0,0,0,0,0,0,1.8,40.4,0.1
Feleipe Franks,ATL,TE,0,0,0,0,0,0,3.1,29.4,0.2
Noah Togiai,ARI,TE,0,0,0,0,0,0,2.7,28.6,0.2
David Wells,TB,TE,0,0,0,0,0,0,2.1,19.5,0.3
Jake Tonges,CHI,TE,0,0,0,0,0,0,2.2,24.5,0.2
Kaden Smith,IND,TE,0,0,0,0,0,0,3.3,28.5,0.2
Tyler Davis,GB,TE,0,0,0,0,0,0,2.5,21.3,0.3
Matt Sokol,NE,TE,0,0,0,0,0,0,1.2,11.5,0.3
Sammis Reyes,JAC,TE,0,0,0,0,0,0,1.4,10.4,0.1
Hunter Kampmoyer,LAC,TE,0,0,0,0,0,0,0.5,3.9,0.1
Ben Mason,BAL,TE,0,0,0,0,0,0,0.3,2,0
